problem,m,N,method,repetitions,mean_estimate,benchmark_probability,bias,abs_bias,sample_variance,sample_sd,rmse,variance_ratio_to_naive,classifier_accuracy_mean,classifier_error_mean
lotka,5,800,Naive,30,0.01569411191253656,0.015973572007985302,-0.0002794600954487414,0.0002794600954487414,2.2764566906193105e-05,0.004771222789410814,0.004779400051381065,1.0,,
lotka,5,800,POF_MLP,30,0.014427110457371665,0.015973572007985302,-0.001546461550613637,0.001546461550613637,1.042304666839122e-06,0.001020933233291542,0.0018530644873736737,0.04578627263739258,0.7570333333333333,0.24296666666666666
lotka,5,800,POF_PPSVMG,30,0.014590723400873059,0.015973572007985302,-0.0013828486071122432,0.0013828486071122432,2.0199502304939299e-07,0.0004494385642658994,0.001454051337897553,0.008873220557270528,0.6703066666666667,0.3296933333333333
lotka,5,800,Random_MLP,30,0.01851485216235084,0.015973572007985302,0.0025412801543655376,0.0025412801543655376,1.3362445160108949e-06,0.0011559604301233217,0.0027918361948694316,0.05869843786254371,0.7475666666666666,0.2524333333333334
lotka,5,800,Random_PPSVMG,30,0.017021262743779953,0.015973572007985302,0.0010476907357946513,0.0010476907357946513,3.7235511926107044e-07,0.0006102090783174816,0.0012124401004301236,0.016356784681889606,0.6765866666666667,0.32341333333333333
lotka,5,1000,Naive,30,0.014338562505508256,0.015973572007985302,-0.0016350095024770459,0.0016350095024770459,1.5480282824408398e-05,0.003934499056348647,0.004260696996689466,1.0,,
lotka,5,1000,POF_MLP,30,0.014394417923192952,0.015973572007985302,-0.0015791540847923495,0.0015791540847923495,5.202143306586025e-07,0.0007212588513554635,0.0017360708378908291,0.033604962942819054,0.7771399999999999,0.22286000000000006
lotka,5,1000,POF_PPSVMG,30,0.014421417207838771,0.015973572007985302,-0.0015521548001465307,0.0015521548001465307,1.818109528590296e-07,0.0004263929559209786,0.0016096569437233966,0.011744679016610781,0.6825,0.3175
lotka,5,1000,Random_MLP,30,0.01822199598025293,0.015973572007985302,0.002248423972267627,0.002248423972267627,8.113211555438144e-07,0.0009007336762572022,0.0024221336698480433,0.052409969814283426,0.77094,0.22906000000000004
lotka,5,1000,Random_PPSVMG,30,0.016856231640567834,0.015973572007985302,0.0008826596325825324,0.0008826596325825324,2.7778255684545535e-07,0.0005270508104969153,0.0010280421118982366,0.017944281767737744,0.6845533333333333,0.31544666666666665
lotka,5,1400,Naive,30,0.016260291681431924,0.015973572007985302,0.00028671967344662264,0.00028671967344662264,1.1960011608185964e-05,0.0034583249714545284,0.0034701901647211353,1.0,,
lotka,5,1400,POF_MLP,30,0.013924820244915622,0.015973572007985302,-0.00204875176306968,0.00204875176306968,1.7808926294109876e-06,0.0013345008914987608,0.0024450514137931965,0.14890392148048295,0.7904199999999999,0.2095800000000001
lotka,5,1400,POF_PPSVMG,30,0.014520477356022337,0.015973572007985302,-0.0014530946519629648,0.0014530946519629648,1.1017009145064623e-06,0.001049619414124216,0.0017925359081674855,0.09211537167341954,0.68172,0.31828
lotka,5,1400,Random_MLP,30,0.01867817566393642,0.015973572007985302,0.0027046036559511197,0.0027046036559511197,1.8365325306089277e-06,0.0013551872677268362,0.0030251303222163985,0.15355608261717096,0.78534,0.21465999999999996
